timestamp,id_trem,linha,id_bloco,tipo_sinalizacao,comprimento_bloco_m,headway_seg,aspecto_sinal,velocidade_permitida_kmh,tempo_ocupacao_circuito_seg
2024-03-04 06:02:06.769302506,B0001,Linha B - CBTC,B-B01,CBTC,784.0,79.0,Amarelo,41.4,70.9
2024-03-04 06:03:09.800259953,B0001,Linha B - CBTC,B-B02,CBTC,738.0,69.5,Amarelo,44.8,57.3
2024-03-04 06:03:55.814039768,A0001,Linha A - Bloco Fixo,A-B01,Bloco Fixo,997.0,172.9,Amarelo,54.4,64.2
2024-03-04 06:04:04.777998748,B0001,Linha B - CBTC,B-B04,CBTC,513.0,85.6,Amarelo,45.7,41.8
2024-03-04 06:04:06.491999591,B0002,Linha B - CBTC,B-B01,CBTC,784.0,124.0,Verde,84.2,34.5
2024-03-04 06:04:24.510726056,B0001,Linha B - CBTC,B-B03,CBTC,397.0,85.6,Amarelo,43.5,32.2
2024-03-04 06:04:35.477160041,A0001,Linha A - Bloco Fixo,A-B03,Bloco Fixo,1073.0,183.9,Verde,116.2,32.7
2024-03-04 06:05:06.036161737,A0001,Linha A - Bloco Fixo,A-B02,Bloco Fixo,695.0,159.0,Amarelo,65.1,39.2
2024-03-04 06:05:09.522957038,B0002,Linha B - CBTC,B-B02,CBTC,738.0,111.4,Verde,82.5,32.5
2024-03-04 06:05:18.975467985,B0003,Linha B - CBTC,B-B01,CBTC,784.0,76.8,Amarelo,46.0,62.8
2024-03-04 06:06:04.500695833,B0002,Linha B - CBTC,B-B04,CBTC,513.0,106.8,Verde,87.4,21.0
2024-03-04 06:06:22.006425432,B0003,Linha B - CBTC,B-B02,CBTC,738.0,80.3,Amarelo,39.1,65.7
2024-03-04 06:06:22.010095954,A0001,Linha A - Bloco Fixo,A-B04,Bloco Fixo,928.0,147.2,Amarelo,63.3,53.1
2024-03-04 06:06:24.233423141,B0002,Linha B - CBTC,B-B03,CBTC,397.0,134.4,Verde,84.8,17.6
2024-03-04 06:06:53.014559210,B0004,Linha B - CBTC,B-B01,CBTC,784.0,104.2,Verde,82.9,34.4
